Attributes,high,low,open,close,avg,volume
Symbols,FPT,FPT,FPT,FPT,FPT,FPT
date,,,,,,
2021-06-28,86.1,85.4,86.1,85.7,85.82,1858800.0
2021-06-29,89.0,86.3,86.6,88.6,88.38,4897800.0
2021-06-30,89.1,88.0,89.0,88.0,88.47,1651100.0
2021-07-01,88.9,88.0,88.1,88.9,88.54,1700100.0
2021-07-02,92.5,88.9,89.3,91.9,90.43,3873500.0
2021-07-05,95.0,91.0,95.0,92.7,92.37,2934200.0
2021-07-06,93.0,87.0,92.5,87.0,90.78,2640500.0
2021-07-07,91.0,85.0,87.0,90.5,87.93,4910200.0
2021-07-08,90.5,89.0,90.4,89.8,89.7,2375400.0
2021-07-09,92.0,88.8,89.6,89.7,90.48,2947000.0
2021-07-12,89.7,83.6,88.8,86.1,85.82,6764400.0
2021-07-13,87.3,85.0,86.9,87.0,86.57,2207400.0
2021-07-14,87.6,84.7,87.6,85.2,85.94,2433500.0
2021-07-15,86.6,84.7,84.7,85.4,85.44,2714600.0
2021-07-16,88.0,85.5,85.9,86.8,86.37,2285700.0
2021-07-19,86.4,84.5,85.2,84.7,85.27,3288800.0
2021-07-20,86.8,83.9,84.8,86.8,85.169,2553700.0
2021-07-21,87.9,86.1,86.8,86.6,86.9,3369200.0
2021-07-22,89.6,86.2,86.2,89.4,88.8,4445600.0
2021-07-23,92.9,88.7,89.4,90.5,91.17,6755700.0
2021-07-26,93.9,90.2,90.3,93.7,92.096,5773100.0
2021-07-27,94.9,92.5,94.4,93.2,93.67,5007000.0
2021-07-28,93.7,91.7,92.8,92.0,92.42,3346700.0
2021-07-29,93.9,91.7,92.0,93.4,92.632,3712900.0
2021-07-30,94.8,92.8,93.5,94.0,94.05,4525900.0
2021-08-02,96.6,94.0,94.0,95.6,95.65,4275900.0
2021-08-03,96.0,94.7,95.8,95.8,95.28,3607200.0
2021-08-04,96.2,94.9,95.9,95.6,95.67,2818400.0
2021-08-05,97.0,94.9,95.2,96.6,95.81,2485600.0
2021-08-06,97.2,95.8,96.8,96.6,96.54,3413900.0
2021-08-09,97.7,95.9,97.0,97.5,97.13,2934500.0
2021-08-10,98.4,97.6,98.3,97.8,97.96,2680700.0
2021-08-11,97.8,96.1,97.7,96.1,96.86,4883200.0
2021-08-12,96.0,93.4,95.8,93.8,94.71,8399400.0
2021-08-13,95.0,93.0,93.1,95.0,93.79,3618700.0
2021-08-16,95.2,94.4,95.0,94.6,94.63,1906800.0
2021-08-17,94.6,93.5,94.1,93.8,94.09,2801700.0
2021-08-18,94.9,93.8,93.8,94.0,94.01,1951000.0
2021-08-19,95.0,93.8,95.0,94.5,94.42,2721600.0
2021-08-20,94.7,91.1,94.5,92.8,93.22,4349300.0
2021-08-23,92.5,91.0,92.5,91.0,91.59,3436600.0
2021-08-24,92.0,89.9,91.5,91.9,90.82,3081500.0
